South Hyrule Field Korok Seed 1,Lift the Rock,"-2278, -0403, 0398","South of Satori Mountain, a Korok will be waiting underneath a small rock on a hill overlooking the landscape."
South Hyrule Field Korok Seed 2,Sparkle Cloud,"-2479, -0642, 0208","Just north of the Rutile Lake, there is a small hill holding a Korok tree stump. Stand on it to make a target stump appear. Glide over and land on it to recieve your reward."
South Hyrule Field Korok Seed 3,Lift the Rock,"-2601, -0668, 0213","Same as the previous one, this one will be hiding near Rutile Lake. Go south and look for an open tree stump with a small rock in it. Lift the rock and a Korok will be waiting to give you a Korok seed."
South Hyrule Field Korok Seed 4,Lift the Rock,"-2198, 0798, 0170","Southwest from Satori Mountain, in a small forest, hides a Korok underneath a rock at the top of a big tree."
South Hyrule Field Korok Seed 5,Sparkle Cloud,"-2220, -0693, 0243","Underneath a small cave, you will need to ascend the Korok stump to exit the other side and get your Korok seed."
South Hyrule Field Korok Seed 6,Reunite Friends,"-1798, -0321, 0119","Northwest of Nima Plain, near Sonapan Shrine, this little Korok will ask you to reunite him with his friend."
South Hyrule Field Korok Seed 7,Lift the Rock,"-1741, -0399, 0120","Just south from the previous Korok mission, this one will be hiding on top of a big tree in a small forest. Climb the tree and pick up the rock to reveal a Korok."
South Hyrule Field Korok Seed 8,Sparkle Cloud,"-1648, -0686, 0137","Northeast from Nima Plain, on the Sanidin Park Ruins, a whirlwind of leaves will be hovering over a fountain. Examine it to reveal a Korok."
South Hyrule Field Korok Seed 9,Sparkle Cloud,"-1820, -0973, 0143","For this particular Korok puzzle, you will have to offer the two shrines, two golden apples. It can not be substituted for red apples. Once you offer the two apples, a Korok will appear and you can pick up and store your apples back to your inventory."
South Hyrule Field Korok Seed 10,Sparkle Cloud,"-1556, 0816, 0062","Located east from Safula Hill, the whirlwind of leaves will be floating on a small hill overlooking Regencia River."
South Hyrule Field Korok Seed 11,Sparkle Cloud,"-1968, -1090, 0098","Located north in Dalite Forest, look for two statues, where you will need to follow a small flower hopping around them."
South Hyrule Field Korok Seed 12,Sparkle Cloud,"-1630, -1023, 0012",A Korok seed will be hanging underneath Manhala Bridge. Shoot it down with your bow to get your reward.
South Hyrule Field Korok Seed 13,Reunite Friends,"-1550, -1000, 0027","Time to help your little friend reach his other friend. As with most of these missions, his friend will be located across the river. He will be waiting for your help near a small forest near Manhala Bridge."
South Hyrule Field Korok Seed 14,Reunite Friends,"-1354, -1309, 0046","Next to the Old Coliseum Ruins, near the Outskirts Stables, there will be three nearby Koroks. One of them is waiting for you to help him reach his friend."
South Hyrule Field Korok Seed 15,Shoot the Acorn,"-1423, -1295, 0032","Part of the Koroks near the Outskirts Stables, is this little fellow hiding inside one of the logs stacked together. Shoot the seed to reveal a Korok."
South Hyrule Field Korok Seed 16,Sparkle Cloud,"-1319, -1259, 0033","This Korok is near the Old Coliseum Ruins, however, it is easier to reach it coming from the Outskirts Stables since it is located on the surface without needing to climb your way up the Coliseum. Offer two red apples to the statues and a Korok will appear above them. As with the other offerings, you can only offer red apples, not any other type, such as golden."
