korok_id,korok_found,korok_location,korok_num,korok_type,korok_coord_start,korok_coord_end,korok_desc,
1,1,,,Yellow Flowers,"-2897, 0558, 0208",,Top of the tall mushroom tree by Tabantha Stable,
2,1,,,Yellow Flowers,"-0523, 0188, 0062","-0431, 0247, 0037",Follow the flowers Northeast along the Castle Town Wall.,
3,1,,,Lift the Rock,"-3131, -0113, 0209",,Geoglyph south of Rito - Zelda and Sonia,
4,1,,,Shoot the Acorn,"-1921, -0361, 0228",,"Shoot the acorn in the fallen tree in the small pond, directly south of Sonapan Shrine.",
5,0,,,,"3273, 1398, 0285",,,
6,1,Akkala,1,Lift the Rock,"3357, 1306, 0289",,Right on the edge of a cliff below the Akkala Citadel Ruins you will find a small rock. Lift it up to reveal the Korok hiding underneath it.,
7,0,Akkala,2,Block Puzzle,"3669, 1468, 0096",,Behind a row of canons near the Akkala Parade Ground Ruins you will find a Korok puzzle. Lift the piece using Ultrahand and place it back in its place to reveal the Korok Seed.,
8,1,Akkala,3,Yellow Flowers,"4021, 1623, 0137",,"Sitting atop one of the ruins in the Torin Wetland, you will find a small yellow flower. Walk into the flower to make it reappear in another location close by. Keep following the flower around until the Korok makes itself known. End coordinates: 3646, 1457, 0096.",
9,0,Akkala,4,Lift the Rock,"3972, 1612, 0127",,There are a series of rock piles on top of the archway leading into Tarrey Town. Lift up the single rock to reveal a Korok Seed.,
10,0,Akkala,5,Misc.,"4137, 1491, 0166",,Ring the bell in the water fountain in the centre of Tarrey Town to find yet another Korok.,
11,0,Akkala,6,Block Puzzle,"4109, 1384, 0166",,In a small wooded area near Tarrey Town you will find a dilapidated shack with a broken roof. Repair the roof using Ultrahand to reveal the Korok.,
12,0,Akkala,7,Catch the Fairy Lights,"4048, 1284, 0216",,In a small pond just South of Tarrey Town you will find a sparkling Korok speeding around the waterâ€™s surface. Catch up with it and interact with the sparkle by pressing A to find the Korok Seed.,
13,0,Akkala,8,Misc.,"742, 1983, 0000",,Deep in the woods of the Akkala Highlands you will find three red signs pointing to a large pine tree. Climb the tree and interact with the sparkling area at the top to reveal the Korok. If you cut the tree down you will be unable to reach the Korok Seed.,
14,0,Akkala,9,Reunite Friends,"4599, 1858, 0009",,There is a small Korok struggling with his large backpack on the cliff looking out toward the spiral island. Craft a glider with the nearby materials and give him a lift back to his friend. Place the Korok next to his little buddy to get two Korok Seeds.,
15,0,Akkala,10,Lift the Rock,"3232, 1787, 0226",,Inside one of the ruins at the beginning of the spiral island you will find a pile of leaves. Clear the leaves and lift up the rock beneath them to reveal another Korok Seed.,
16,0,Akkala,11,Lift the Rock,"3222, 2167, 0128",,"On a small hill Northeast of the South Akkala Stable, you will find two Hylians standing by a tree looking at a chicken. Ignore that strange sight for now and climb the tree. Lift up the rock sitting on top of it to find a Korok Seed.",
17,0,Akkala,12,Reunite Friends,"3327, 2168, 0135",,"Along the road right next to the South Akkala Stable you will find another little Korok struggling to meet up with its friend. There arenâ€™t any building supplies nearby so take one of your horses out of the stable and attach the Korok to your Towing Harness, or create a vehicle out of your own Zonai parts and deliver the Korok to its friend.",
18,0,Akkala,13,Misc.,"4527, 2047, 0000",,In a wooded area in Shadow Pass you will find a small red sign pointing toward a tree. Climb the tree and interact with the shiny spot on top to find the Korok.,
19,0,Akkala,14,Lift the Rock,"4278, 2337, 0020",,Right opposite Gemimik Shrine on the tip of the spiral island there is a small rock in the water. Lift up the rock to reveal the Korok hiding underneath.,
20,0,Akkala,15,Reunite Friends,"4074, 2451, 0073",,There is a struggling Korok near the Sinatanika Shrine. Create a hoverboard out of the nearby materials and drive it over to its friend near the spiral island.,
21,0,Akkala,16,Lift the Rock,"4312, 2519, 0080",,Make your way to Octorok Lake to find the next Korok Seed. This one is hiding under a rock covered with leaves. Clear the leaves away by slashing at then with a weapon and lift the rock to find the Korok.,
22,0,Akkala,17,Sparkle Cloud,"4626, 2859, 0002",,In a small set of ruins North of East Akkala Beach you will find a wooded area. There are three red signs pointing toward some rubble in the centre of the trees. Stand on the pile of rubble and interact with the sparkly area to find the Korok.,
23,0,Akkala,18,Reunite Friends,"4277, 2942, 0143",,On a cliff overlooking East Akkala Beach you will find another lost Korok. Make a vehicle out of your Zonai equipment and take the Korok down to the beach to reunite it with its friend. You will get two Korok Seeds in return.,
24,0,Akkala,19,Lift the Rock,"4271, 2828, 0148",,On the Southern bank of Bloodleaf Lake you will find a circle of lillypads. Climb onto the tall rock on the bank and dive inside the ring to find the next Korok Seed.,
25,0,Akkala,20,Lift the Rock,"3855, 2685, 0049",,"On a small hill North of East Akkala Stable you will see a tree with a pile of leaves underneath it. This one is a little inconspicuous as Akkala has quite a lot of fallen leaves as decor, but blow these ones away and lift the rock underneath to reveal a Korok.",
26,0,Akkala,21,Reunite Friends,"3767, 2696, 0018",,Out the back of the East Akkala Stable there is another Korok that needs to be taken to its friend. Take out a horse with a Towing Harness equipped and set off down the hill to reunite the Koroks. You will get two Korok Seeds as a reward.,
27,1,Akkala,22,Catch the Fairy Lights,"3542, 2636, 0077",,There is a small sparkle zipping around the perimeter of the Spring of Power. Catch up with it to find another Korok Seed.,
28,0,Akkala,23,Block Puzzle,"3546, 3025, 0080",,On the top of a cliff on the Northern side of Ordorac Quarry you will find a Korok puzzle. Lift the missing piece of the puzzle off the ground using Ultrahand and place it back in its place to find the Korok Seed.,
29,0,Akkala,24,Lift the Rock,"3344, 3074, 0058",,On top of the rock archway leading into the Rok Woods there is a small wooden platform with a leaf imprinted on it. Stand on the leaf to make a target appear on the opposite rock. Glide over and land on the target to reveal the Korok.,
30,0,Akkala,25,Misc.,"3146, 3093, 0141",,Deep in the Rok Woods you will find a large green tree with two statues beneath it. Only one of the statues has an apple. Give the second one an apple to reveal the Korok Seed.,
31,0,Akkala,26,Block Puzzle,"3268, 3397, 0034",,On the cliffs West of the Rok Woods there is an Ultrahand Korok puzzle. Put the missing piece back in its place to find the Korok Seed.,
32,0,Akkala,27,Lift the Rock,"4435, 3185, 0249",,There is a rock at the very top of a large pillar rising up out of Skull Lake. Climb up or glide down from above and lift the rock to reveal the Korok hiding underneath.,
33,1,Akkala,28,Yellow Flowers,"4540, 3162, 0270",,On a small hill West of the Akkala Ancient Tech Lab there is a small yellow flower. Catch the flower as it moves around the hill until you find the Korok Seed.,
34,0,Akkala,29,Sparkle Cloud,"4493, 3151, 0245",,Climb onto the roof of the Akkala Ancient Tech lab and walk to the edge of a wooden plank pointing to the sea. Interact with the sparkly spot on the end to find a Korok Seed.,
35,0,Akkala,30,Misc.,"4155, 3167, 0250",,Place three Mighty Bananas in the offering bowls of the statues outside the Ancient Akkala Tech Lab to find another Korok Seed.,
