Map,TRUE,Central Hyrule Sky Archipelago Old Map,1662 -0352 0400,Central Hyrule Sky,This Old Map is found on the lonely sky island on the far eastern end of the Central Hyrule Sky Archipelago and just north of the North Necluda Sky Archipelago. To get to this area launch from the Sahasra Slope Skyview Tower and glide toward the Lanayru Wetlands. Because this sky island is relatively close to the ground you should be able to land on it with under 2 Rings of Stamina.
Treasure,FALSE,Cap of Time,-4079 2799 -0450,Central Hyrule Sky,The Central Hyrule Old map will place an X on your map above the Sturnida Lavafalls in the Hebra Mountain Depths to mark the location of the Cap of Time. To collect the Cap of Time drop through the Hyrule Ridge Chasm and travel west until you discover the Kataki Lightroot. From here head north to discover the So-oaw Lightroot then travel northwest to the Nupisoyuat Lightroot. Lastly head east to reach the Sturnida Lavafalls and you'll find the Cap of Time within a chest sitting atop a rock formation near the flowing lava.
Map,FALSE,North Hyrule Sky Archipelago Old Map,0435 2196 2243,Central Hyrule Sky,This Old Map can be collected by traveling to the high sky island between the Flux Construct site and Bravery Island in the North Hyrule Sky Archipelago. Because this sky island sits at such a high elevation it can be difficult to reach. Start by launching from Thyphlo Ruins Skyview Tower then glide south to land on the square-shaped area north of the Flux Construct site. Here you'll find a couple of floating platforms and several Zonai Rockets. Use the Rockets and a platform to float upward and once high enough glide onto the sky island highlighted on the map above. In the ruins you'll find a chest housing an Old Map that can lead you to the Korok Mask!
Treasure,FALSE,Korok Mask,-0114 2433 -0620,Central Hyrule Sky,After collecting the Old Map in the North Hyrule Archipelago an X will be drawn on your Depths map to show that the Korok Mask is located inside the Forest Coliseum. To collect the Korok Mask drop into the Deku Tree chasm and travel northwest past the Ramobnukas Lightroot. When you reach the Forest Coliseum prepare your Armor and Weapons to take on the powerful Black Hinox lurking inside.
Map,FALSE,South Hyrule Sky Archipelago Old Map 1,-1456 -1585 1220,Central Hyrule Sky,This OId Map can be collected by traveling to the Luminous Stone-covered sky island that sits high above the southwestern end of the South Hyrule Sky Archipelago. To reach this sky island launch from the Gerudo Canyon Skyview Tower then glide northeast to land on the East Gerudo Sky Archipelago. Next glide northeast to land on the lower Flux Construct site. The Flux Construct site is surrounded by hovering platforms so attach Zonai Rockets or Balloons to a platform to reach the Luminous Stone island above you. Once you're high enough glide onto the Luminous Stone island and open the chest found here to collect this Old Map leading to the Trousers of the Hero!
Treasure,FALSE,Trousers of the Hero,-3354 2312 -0812,Central Hyrule Sky,After collecting the South Hyrule Archipelago Old Map you'll be led to the Corvash Canyon Mine in the Depths just below Corvash Peak in the Hebra region. To get to this underground mine dive into the Hyrule Ridge Chasm before trekking northwest. The Corvash Canyon Mine sits near the Worihas Lightroot so keep an eye out for this landmark as you travel. When you reach the mine you should spot an altar on the upper level. Search the chest and you'll receive the Trousers of the Hero!
Map,TRUE,South Hyrule Sky Archipelago Old Map 2,-1231 -1403 1007,Central Hyrule Sky,This Old Map is hanging underneath the movable sky island north of the Jinodok Shrine in the South Hyrule Sky Archipelago. To quickly reach the area launch from the Gerudo Canyon Skyview Tower and glide northeast to land on the East Gerudo Sky Archipelago. Next rotate the center catapult and use it to fly northeast toward the South Hyrule Sky Archipelago. Because there are no platforms or sky islands beneath the chest containing the Old Map use Ultrahand on the green mechanism and rotate it so the vine holding the chest gets coiled on the extended platform. To effectively rotate the movable sky island remember to hold R after grabbing the green mechanism with Ultrahand. Once the vine is coiled around the platform open the chest to collect an Old Map that marks the location of the Tunic of the Hero!
Treasure,FALSE,Tunic of the Hero,1283 -1811 -0784,Central Hyrule Sky,After collecting the second Old Map in the South Hyrule Sky Archipelago an X will be placed on your Depths map leading to the Tunic of the Hero which is found in a chest at the center of the Dueling Canyons Mine. To collect the Tunic of the Hero drop into the South Nabi Lake Well just north of South Nabi Lake then trek east. The Dueling Canyons Mine is directly underneath the section of the Squabble River that passes through the Dueling Peaks in West Necluda. When you reach the Dueling Canyons Mine open the chest on the lit altar and you'll obtain the Tunic of the Hero!
Map,TRUE,South Hyrule Sky Archipelago Old Map 3,"-1311, -1533, 0801",Central Hyrule Sky,This Old Map is inside the chest attached to the Flux Construct II on the circular sky island in the South Hyrule Sky Archipelago. To reach this sky island launch from the Gerudo Canyon Skyview Tower then glide northeast to land on the East Gerudo Sky Archipelago. Next glide northeast to land on the lower Flux Construct site pictured below. Defeat the Flux Construct or use Ultrahand to pry the chest from its body then open it to obtain an Old Map that points you toward the location of the Cap of the Hero!
Treasure,FALSE,Cap of the Hero,2518 -3602 -0626,Central Hyrule Sky,As indicated by the X on your Depths map the Cap of the Hero can be found in the Tuft Canyon Mine which sits below the mountainous area just west of Lurelin Village. To acquire the Cap of the Hero dive into the Meda Mountain Chasm then head south until you reach the Ancient Observation Deck. The Tuft Canyon Mine is just south of this observation deck and on a stone altar you'll find a chest containing the Cap of the Hero.
Map,TRUE,South Hyrule Sky Archipelago Old Map 4,-0818 -1594 0861,Central Hyrule Sky,The fourth and final Old Map in the South Hyrule Sky Archipelago is found dangling from the high sky island on the eastern end of the archipelago. If you've yet to visit the area launch from the Gerudo Canyon Skyview Tower then glide northeast to land on the East Gerudo Sky Archipelago. Next rotate the center catapult to face the South Hyrule Sky Archipelago and you should get enough lift to reach this cluster of sky islands. Use the catapult on the South Hyrule Sky Archipelago to launch yourself toward the eastern side of the archipelago then land on the lower sky island. From here look up at the higher sky island and shoot the vine holding a chest. When the chest drops onto the lower sky island open it to collect an Old Map that leads to Sheik's Mask!
Treasure,FALSE,Sheik's Mask,-4310 -3781 -0479,Central Hyrule Sky,As the Old Map indicates Sheik's Mask can be obtained by traveling to the Desert Coliseum in the southwestern Gerudo Desert Depths and surviving several waves of increasingly powerful Horriblins. To get to the Desert Coliseum jump into the East Gerudo Chasm and travel to the west until you discover the Abandoned Gerudo Mine. From the abandoned mine head south to reach the Gataharak Lightroot. Next head west past the Gerudo Underground Cemetary and you'll find the Desert Coliseum. Once you've survived the waves of Horriblins open the chest at the center of the coliseum to collect Sheik's Mask!
