A Bottled Cry for Help  ,Investigate the Bottled Letter,Bottled Letter,Hateno Beach,East Necluda,"3945, -2508, 0000",100 Rupees
A Crabulous Deal,,,,,,
A New Champion's Tunic,Examine Zelda's Diary,Zelda's Diary,Hateno Village,East Necluda,"3306, -2297, 0112",Champion's Leathers
A Picture for Tabantha Bridge Stable,,,,,,
A Picture for the Closed Stable I,,,,,,
A Picture for the Closed Stable II,,,,,,
A Token of Friendship   ,Talk to Yona in Zora's Domain,Yona,Zora's Domain,Lanayru Great Spring,"3307, 0488, 0150",Zora Greaves
A Trip through History  ,Talk to Bugut in Kakariko Village,Bugut,Kakariko Village,West Necluda,"1843, -0970, 0115",Thunderwing Butterfly x3
A Wife Wafted Away,,,,,,
Amber Dealer,,,,,,
An Uninvited Guest      ,Speak with Ami in Wetland Stable,Ami,Wetland Stable,Lanayru Wetlands,"0865, -0171, 0025",Two Pony Points
Ancient Blades Below,,,,,,
Cash In on Ripened Flint,,,,,,
Cave Mushrooms That Glow,,,,,,
Codgers' Quarrel,Defeat the monsters at the Southern Ring Ruin,Trissa,Kakariko Village,West Necluda,"1791, -1030, 0115",Endura Carrot
Crossing the Cold Pool  ,Speak With Verla Outside of Talonto Peak Cave,Verla,Talonto Peak Cave,Tabantha Frontier,"-3217, 2456, 0347",50 Rupees
Dad's Blue Shirt,,,,,,
Dalia's Game,,,,,,
Dantz's Prize Cows      ,Speak With Dantz,Dantz,Hateno Village,East Necluda,"3626, -2075, 0178",Fresh Milk
Decorate with Passion,,,,,,
Eldin's Colossal Fossil,Place the fossil's eye into the eye socket,Loone,,,,
Fell into a well!,,Dillie,Rebonae Bridge Well,Hyrule Field,"0782, 0004, 0031","Purple Rupee (50, purple?)"
Fish for Fletching,,,,,,
Follow the Cuccos       ,Talk to Trissa After They Restock,Trissa,Kakariko Village,West Necluda,"1790, -1030, 0115",Purple Rupee
Genli's Home Cooking,Speak to Genli in the General Store in Rito Village,Genli,Rito Village,Tabantha Frontier,"-3642, 1820, 0184",Biting Simmered Fruit
Gleeok Guts,,,,,,
Gloom-Borne Illness     ,Speak with Lasli in Kakariko Village,Lasli,Kakariko Village,West Necluda,"1908, -0999, 0127",Energizing Veggie Porridge
Glory of the Zora,,,,,,
Goddess Statue of Courage,,,,,,
Goddess Statue of Power,,,,,"3758, 2676, 0003",
Goddess Statue of Wisdom,,,,,,
Gerudo's Colossal Fossil,"Speak with Loone, attach the body and tail to the small skull",Loone,Gerudo Leviathan Cave,Gerudo,"-4876, -3770, -0057",Purple Rupee
